"","Continent","Country","Year","Status","Lifeexpectancy","Population","GDP"
"35","Africa","Algeria",2013,"Developing",75.3,38338562,5471.866766
"36","Africa","Algeria",2012,"Developing",75.1,37565847,5564.82566
"37","Africa","Algeria",2011,"Developing",74.9,36819558,5432.2523
"38","Africa","Algeria",2010,"Developing",74.7,36117637,4463.394675
"39","Africa","Algeria",2009,"Developing",74.4,3546576,3868.83123
"40","Africa","Algeria",2008,"Developing",74.1,3486715,495.254866
"41","Africa","Algeria",2007,"Developing",73.8,34376,3935.183343
"42","Africa","Algeria",2006,"Developing",73.4,33777915,3464.6179
"43","Africa","Algeria",2005,"Developing",72.9,33288437,31.122378
"44","Africa","Algeria",2004,"Developing",72.3,3283196,2598.9823
"45","Africa","Algeria",2003,"Developing",71.7,3243514,294.33556
"46","Africa","Algeria",2002,"Developing",71.6,3199546,1774.33673
"47","Africa","Algeria",2001,"Developing",71.4,31592153,1732.857979
"48","Africa","Algeria",2000,"Developing",71.3,3118366,1757.17797
"49","Africa","Angola",2015,"Developing",52.4,2785935,3695.793748
"50","Africa","Angola",2014,"Developing",51.7,2692466,479.31224
"51","Africa","Angola",2013,"Developing",51.1,2599834,484.616884
"52","Africa","Angola",2012,"Developing",56,259615,4598.249988
"53","Africa","Angola",2011,"Developing",51,24218565,4299.12889
"54","Africa","Angola",2010,"Developing",49.6,23369131,3529.53482
"55","Africa","Angola",2009,"Developing",49.1,22549547,3347.84485
"56","Africa","Angola",2008,"Developing",48.7,2175942,3868.578883
"57","Africa","Angola",2007,"Developing",48.2,2997687,2878.837144
"58","Africa","Angola",2006,"Developing",47.7,2262399,262.415149
"59","Africa","Angola",2005,"Developing",47.4,19552542,1443.991929
"60","Africa","Angola",2004,"Developing",47.1,18865716,141.86844
"61","Africa","Angola",2003,"Developing",46.8,1823369,779.468356
"62","Africa","Angola",2002,"Developing",46.5,17572649,711.181716
"63","Africa","Angola",2001,"Developing",45.7,16983266,526.168743
"64","Africa","Angola",2000,"Developing",45.3,1644924,555.2969419
"65","South America","Argentina",2015,"Developing",76.3,43417765,13467.1236
"66","South America","Argentina",2014,"Developing",76.2,42981515,12245.25645
"67","South America","Argentina",2013,"Developing",76,42539925,12976.63642
"68","South America","Argentina",2012,"Developing",75.9,4296739,12969.7712
"69","South America","Argentina",2011,"Developing",75.7,41656879,12726.9836
"70","South America","Argentina",2010,"Developing",75.5,41223889,1276.265
"71","South America","Argentina",2009,"Developing",75.6,479947,8161.36966
"72","South America","Argentina",2008,"Developing",75.4,4382389,8953.359275
"73","South America","Argentina",2007,"Developing",74.8,3997224,7193.61764
"74","South America","Argentina",2006,"Developing",75.2,3955889,5878.76127
"75","South America","Argentina",2005,"Developing",74.9,39145488,576.883829
"76","South America","Argentina",2004,"Developing",74.7,38728696,4251.574348
"77","South America","Argentina",2003,"Developing",74.1,3839379,333.4376
"78","South America","Argentina",2002,"Developing",74.1,3788937,2579.193168
"79","South America","Argentina",2001,"Developing",74,3747159,717.694674
"80","South America","Argentina",2000,"Developing",74.1,3757452,7669.273916
"81","Asia","Armenia",2015,"Developing",74.8,291695,369.654776
"82","Asia","Armenia",2014,"Developing",74.6,29622,3994.712355
"83","Asia","Armenia",2013,"Developing",74.4,289359,3843.591213
"84","Asia","Armenia",2012,"Developing",74.4,2881922,3684.8481
"85","Asia","Armenia",2011,"Developing",73.9,2875581,3526.978143
"86","Asia","Armenia",2010,"Developing",73.5,2877311,3218.381655
"87","Asia","Armenia",2009,"Developing",73.3,2888584,2993.832531
"88","Asia","Armenia",2008,"Developing",73.2,29822,41.26997
"89","Asia","Armenia",2007,"Developing",73.5,293356,3138.8873
"90","Asia","Armenia",2006,"Developing",72.9,29585,2158.299
"91","Asia","Armenia",2005,"Developing",73,2981259,1643.758397
"92","Asia","Armenia",2004,"Developing",73,3612,1191.96192
"93","Asia","Armenia",2003,"Developing",72.7,31786,93.1661567
"94","Asia","Armenia",2002,"Developing",72.6,333897,783.261699
"95","Asia","Armenia",2001,"Developing",72.6,35655,694.435119
"96","Asia","Armenia",2000,"Developing",72,369588,622.7427477
"97","Oceania","Australia",2015,"Developed",82.8,23789338,56554.3876
"98","Oceania","Australia",2014,"Developed",82.7,2346694,62214.6912
"99","Oceania","Australia",2013,"Developed",82.5,23117353,67792.3386
"100","Oceania","Australia",2012,"Developed",82.3,22728254,67677.63477
"101","Oceania","Australia",2011,"Developed",82,223424,62245.129
"102","Oceania","Australia",2010,"Developed",81.9,223175,51874.848
"103","Oceania","Australia",2009,"Developed",81.7,216917,42742.99898
"104","Oceania","Australia",2008,"Developed",81.3,212492,49664.6854
"105","Oceania","Australia",2007,"Developed",81.3,28276,4991.98289
"106","Oceania","Australia",2006,"Developed",81.2,26979,36118.28381
"107","Oceania","Australia",2005,"Developed",81,23948,3416.71483
"108","Oceania","Australia",2004,"Developed",86,21274,3472.37977
"109","Oceania","Australia",2003,"Developed",83,198954,23465.38559
"110","Oceania","Australia",2002,"Developed",79.9,196514,281.81763
"111","Oceania","Australia",2001,"Developed",79.9,19413,19517.84168
"112","Oceania","Australia",2000,"Developed",79.5,19153,2169.921
"113","Europe","Austria",2015,"Developed",81.5,8633169,43665.947
"114","Europe","Austria",2014,"Developed",81.4,8541575,51322.63997
"115","Europe","Austria",2013,"Developed",81.1,8479375,554.71532
"116","Europe","Austria",2012,"Developed",88,8429991,48333.57273
"117","Europe","Austria",2011,"Developed",88,8391643,51126.74139
"118","Europe","Austria",2010,"Developed",84,836344,46657.629
"119","Europe","Austria",2009,"Developed",82,8343323,47654.18721
"120","Europe","Austria",2008,"Developed",84,8321496,51386.37665
"121","Europe","Austria",2007,"Developed",81,8295487,46586.6525
"122","Europe","Austria",2006,"Developed",79.8,8268641,443.99361
"123","Europe","Austria",2005,"Developed",79.4,8227829,38242.4252
"124","Europe","Austria",2004,"Developed",79.3,8171966,36693.4262
"125","Europe","Austria",2003,"Developed",78.8,8121423,3212.9355
"126","Europe","Austria",2002,"Developed",78.7,881957,26351.37568
"127","Europe","Austria",2001,"Developed",78.6,842293,24489.73553
"128","Europe","Austria",2000,"Developed",78.1,811566,24517.26745
"129","Asia","Azerbaijan",2015,"Developing",72.7,9649341,55.31382
"130","Asia","Azerbaijan",2014,"Developing",72.5,953579,7891.299776
"131","Asia","Azerbaijan",2013,"Developing",72.2,941681,7875.756953
"132","Asia","Azerbaijan",2012,"Developing",71.9,9295784,7496.335728
"133","Asia","Azerbaijan",2011,"Developing",71.6,917382,7189.691229
"134","Asia","Azerbaijan",2010,"Developing",71.1,954332,5842.85784
"135","Asia","Azerbaijan",2009,"Developing",78,8947243,495.294791
"136","Asia","Azerbaijan",2008,"Developing",73,87634,5574.6382
"137","Asia","Azerbaijan",2007,"Developing",73,85813,3851.437869
"138","Asia","Azerbaijan",2006,"Developing",69.2,848455,2473.85776
"139","Asia","Azerbaijan",2005,"Developing",68.4,839185,1578.4239
"140","Asia","Azerbaijan",2004,"Developing",68.4,8365,145.2163
"141","Asia","Azerbaijan",2003,"Developing",67.8,82341,883.6439965
"142","Asia","Azerbaijan",2002,"Developing",67.8,817195,763.73858
"143","Asia","Azerbaijan",2001,"Developing",67.5,81112,73.6838434
"144","Asia","Azerbaijan",2000,"Developing",66.6,8486,655.974326
"145","Asia","Bangladesh",2015,"Developing",71.8,1612886,121.15812
"146","Asia","Bangladesh",2014,"Developing",71.4,15945279,184.56543
"147","Asia","Bangladesh",2013,"Developing",71,157571292,951.8894535
"148","Asia","Bangladesh",2012,"Developing",77,15572753,856.342857
"149","Asia","Bangladesh",2011,"Developing",73,153911916,835.789341
"150","Asia","Bangladesh",2010,"Developing",69.9,15214912,757.6717572
"151","Asia","Bangladesh",2009,"Developing",69.5,1545478,681.125368
"152","Asia","Bangladesh",2008,"Developing",69.1,14885814,615.7775411
"153","Asia","Bangladesh",2007,"Developing",68.6,147139191,541.651484
"154","Asia","Bangladesh",2006,"Developing",68.2,1453684,494.51466
"155","Asia","Bangladesh",2005,"Developing",67.8,14343111,484.155471
"156","Asia","Bangladesh",2004,"Developing",67.3,14137489,46.7579167
"157","Asia","Bangladesh",2003,"Developing",66.8,139191,432.7388972
"158","Asia","Bangladesh",2002,"Developing",66.3,1366667,4.6135745
"159","Asia","Bangladesh",2001,"Developing",65.8,1341716,42.5981152
"160","Asia","Bangladesh",2000,"Developing",65.3,131581243,45.63371
"161","Europe","Belarus",2015,"Developing",72.3,9489616,5949.11677
"162","Europe","Belarus",2014,"Developing",72,9474511,8318.429294
"163","Europe","Belarus",2013,"Developing",71.7,9465997,7978.825443
"164","Europe","Belarus",2012,"Developing",71.9,9464495,694.243915
"165","Europe","Belarus",2011,"Developing",72,9473172,6519.71753
"166","Europe","Belarus",2010,"Developing",73,949583,63.38877
"167","Europe","Belarus",2009,"Developing",70,956765,5176.172649
"168","Europe","Belarus",2008,"Developing",70,9527985,6376.183153
"169","Europe","Belarus",2007,"Developing",69.8,956953,4735.484827
"170","Europe","Belarus",2006,"Developing",68.9,964924,3848.215966
"171","Europe","Belarus",2005,"Developing",68.1,9663915,3126.71767
"172","Europe","Belarus",2004,"Developing",68.2,973146,2378.33927
"173","Europe","Belarus",2003,"Developing",67.7,9796749,1819.525644
"174","Europe","Belarus",2002,"Developing",67.2,9865548,1479.383142
"175","Europe","Belarus",2001,"Developing",67.7,9928549,1244.373185
"176","Europe","Belarus",2000,"Developing",68,997961,1276.28834
"177","Europe","Belgium",2015,"Developed",81.1,11274196,4356.875
"178","Europe","Belgium",2014,"Developed",89,112957,47439.39684
"179","Europe","Belgium",2013,"Developed",87,11182817,4651.38647
"180","Europe","Belgium",2012,"Developed",83,11128246,4474.5717
"181","Europe","Belgium",2011,"Developed",83,1147744,4772.77415
"182","Europe","Belgium",2010,"Developed",80,1895586,4438.23741
"183","Europe","Belgium",2009,"Developed",79.8,1796493,4488.5615
"184","Europe","Belgium",2008,"Developed",79.5,179973,48424.58927
"185","Europe","Belgium",2007,"Developed",79.5,16257,4443.83131
"186","Europe","Belgium",2006,"Developed",79.4,1547958,38852.3613
"187","Europe","Belgium",2005,"Developed",78.9,1478617,36967.28292
"188","Europe","Belgium",2004,"Developed",78.8,1421137,35589.71295
"189","Europe","Belgium",2003,"Developed",78.3,1376133,3743.95693
"190","Europe","Belgium",2002,"Developed",78,1332785,2552.3328
"191","Europe","Belgium",2001,"Developed",78,128657,23121.56635
"192","Europe","Belgium",2000,"Developed",77.6,125125,2327.4591
"193","North America","Belize",2015,"Developing",71,359288,4849.997495
"194","North America","Belize",2014,"Developing",70,351694,4852.223666
"195","North America","Belize",2013,"Developing",69.8,344181,4688.538443
"196","North America","Belize",2012,"Developing",69.4,33671,4673.63848
"197","North America","Belize",2011,"Developing",69.4,329192,4516.24675
"198","North America","Belize",2010,"Developing",69.5,32168,4344.15177
"199","North America","Belize",2009,"Developing",69.5,313929,4258.788611
"200","North America","Belize",2008,"Developing",69.6,36165,447.22796
"201","North America","Belize",2007,"Developing",69.6,29847,4324.876427
"202","North America","Belize",2006,"Developing",69.4,29747,4187.3783
"203","North America","Belize",2005,"Developing",69,283277,3933.332215
"204","North America","Belize",2004,"Developing",68.7,27689,3831.53819
"205","North America","Belize",2003,"Developing",68.4,26913,3679.99523
"206","North America","Belize",2002,"Developing",68.5,26226,3556.561825
"207","North America","Belize",2001,"Developing",68.2,254984,3419.275719
"208","North America","Belize",2000,"Developing",68.3,247315,3364.423711
"209","Africa","Benin",2015,"Developing",60,1575952,783.94791
"210","Africa","Benin",2014,"Developing",59.7,1286712,943.686575
"211","Africa","Benin",2013,"Developing",59.5,14451,915.2674586
"212","Africa","Benin",2012,"Developing",59.3,972916,837.9551
"213","Africa","Benin",2011,"Developing",59.1,94682,825.9427854
"214","Africa","Benin",2010,"Developing",58.7,9199259,757.695974
"215","Africa","Benin",2009,"Developing",58.4,894476,793.45243
"216","Africa","Benin",2008,"Developing",57.6,8696916,82.1513498
"217","Africa","Benin",2007,"Developing",57.1,8454791,76.535419
"218","Africa","Benin",2006,"Developing",56.8,8216896,625.8392
"219","Africa","Benin",2005,"Developing",56.5,7982225,61.799977
"220","Africa","Benin",2004,"Developing",56.1,7754,583.493514
"221","Africa","Benin",2003,"Developing",55.8,752555,519.2922847
"222","Africa","Benin",2002,"Developing",55.6,7295394,418.6985763
"223","Africa","Benin",2001,"Developing",55.5,776733,378.73654
"224","Africa","Benin",2000,"Developing",55.4,6865951,374.1923942
"225","Asia","Bhutan",2015,"Developing",69.8,787386,2613.645177
"226","Asia","Bhutan",2014,"Developing",69.4,776448,2522.7968
"227","Asia","Bhutan",2013,"Developing",69.1,764961,235.882889
"228","Asia","Bhutan",2012,"Developing",68.7,752967,2422.816
"229","Asia","Bhutan",2011,"Developing",68.3,7451,2458.45976
"230","Asia","Bhutan",2010,"Developing",67.9,727641,2178.921383
"231","Asia","Bhutan",2009,"Developing",67.4,714458,177.234497
"232","Asia","Bhutan",2008,"Developing",67,795,1795.18137
"233","Asia","Bhutan",2007,"Developing",66.5,686958,1741.142552
"234","Asia","Bhutan",2006,"Developing",65.8,672228,1335.45696
"235","Asia","Bhutan",2005,"Developing",65,656639,1247.61392
"236","Asia","Bhutan",2004,"Developing",64.2,64282,197.45788
"237","Asia","Bhutan",2003,"Developing",63.3,623434,997.7417141
"238","Asia","Bhutan",2002,"Developing",62.5,66399,885.6382245
"239","Asia","Bhutan",2001,"Developing",61.7,5896,87.9387673
"240","Asia","Bhutan",2000,"Developing",62,573416,765.8632358
"241","Africa","Botswana",2015,"Developing",65.7,229197,6532.651
"242","Africa","Botswana",2014,"Developing",65.1,2168573,7497.762376
"243","Africa","Botswana",2013,"Developing",64.2,212857,77.625783
"244","Africa","Botswana",2012,"Developing",63.4,289315,729.231453
"245","Africa","Botswana",2011,"Developing",62.2,251339,7645.21469
"246","Africa","Botswana",2010,"Developing",61.1,214866,6346.15624
"247","Africa","Botswana",2009,"Developing",59.2,1979882,5185.729845
"248","Africa","Botswana",2008,"Developing",57.5,1946351,5623.379566
"249","Africa","Botswana",2007,"Developing",56.9,1914414,5714.47937
"250","Africa","Botswana",2006,"Developing",54.8,1884238,5374.554867
"251","Africa","Botswana",2005,"Developing",51.7,1855852,5351.253732
"252","Africa","Botswana",2004,"Developing",48.1,182933,4896.583835
"253","Africa","Botswana",2003,"Developing",46.4,184339,4163.6596
"254","Africa","Botswana",2002,"Developing",46,1779953,355.618382
"255","Africa","Botswana",2001,"Developing",46.7,1754935,3128.97793
"256","Africa","Botswana",2000,"Developing",47.8,172834,3349.68823
"257","South America","Brazil",2015,"Developing",75,2596218,8757.2622
"258","South America","Brazil",2014,"Developing",74.8,24213133,1226.61731
"259","South America","Brazil",2013,"Developing",74.7,2248632,12216.9446
"260","South America","Brazil",2012,"Developing",74.5,256983,12291.46685
"261","South America","Brazil",2011,"Developing",74.1,198686688,13167.47289
"262","South America","Brazil",2010,"Developing",73.8,196796269,11224.1548
"263","South America","Brazil",2009,"Developing",73.6,194895996,8553.3847
"264","South America","Brazil",2008,"Developing",73.4,19297929,8787.61375
"265","South America","Brazil",2007,"Developing",73.3,19126637,7313.557962
"266","South America","Brazil",2006,"Developing",73,18912412,586.145975
"267","South America","Brazil",2005,"Developing",72.7,186917361,477.182746
"268","South America","Brazil",2004,"Developing",72,184738458,3623.47667
"269","South America","Brazil",2003,"Developing",71.8,182482149,359.587582
"270","South America","Brazil",2002,"Developing",71.4,1815121,2819.649531
"271","South America","Brazil",2001,"Developing",71,1777567,3146.95177
"272","South America","Brazil",2000,"Developing",75,175287587,3739.11936
"273","Europe","Bulgaria",2015,"Developed",74.5,7177991,6993.47736
"274","Europe","Bulgaria",2014,"Developed",74.3,7223938,7853.335191
"275","Europe","Bulgaria",2013,"Developed",74.1,7265115,7674.86559
"276","Europe","Bulgaria",2012,"Developed",73.9,735888,7378.25539
"277","Europe","Bulgaria",2011,"Developed",73.7,7348328,7813.83499
"278","Europe","Bulgaria",2010,"Developed",73.4,7395599,6843.263289
"279","Europe","Bulgaria",2009,"Developed",73.2,7444443,6955.987733
"280","Europe","Bulgaria",2008,"Developed",72.9,7492561,7296.122479
"281","Europe","Bulgaria",2007,"Developed",72.6,7545338,5932.899677
"282","Europe","Bulgaria",2006,"Developed",72.2,76122,4513.13628
"283","Europe","Bulgaria",2005,"Developed",72.1,7658972,3893.68998
"284","Europe","Bulgaria",2004,"Developed",72.2,771686,3381.57837
"285","Europe","Bulgaria",2003,"Developed",72,7775327,271.46824
"286","Europe","Bulgaria",2002,"Developed",71.8,7837161,287.534843
"287","Europe","Bulgaria",2001,"Developed",71.6,89142,1764.97387
"288","Europe","Bulgaria",2000,"Developed",71.1,817172,169.28586
"289","Africa","Burundi",2015,"Developing",59.6,119927,33.681223
"290","Africa","Burundi",2014,"Developing",59.1,989179,312.7489794
"291","Africa","Burundi",2013,"Developing",58.6,96186,282.7555252
"292","Africa","Burundi",2012,"Developing",58,931971,265.285651
"293","Africa","Burundi",2011,"Developing",57.4,94358,26.479973
"294","Africa","Burundi",2010,"Developing",56.8,876693,231.1943256
"295","Africa","Burundi",2009,"Developing",56.2,848931,24.944652
"296","Africa","Burundi",2008,"Developing",55.3,8212264,196.2472628
"297","Africa","Burundi",2007,"Developing",54.8,7939573,17.79995
"298","Africa","Burundi",2006,"Developing",54.1,7675338,165.8794176
"299","Africa","Burundi",2005,"Developing",53.4,7423289,15.57434
"300","Africa","Burundi",2004,"Developing",52.6,7182451,127.4296648
"301","Africa","Burundi",2003,"Developing",51.9,6953113,112.849373
"302","Africa","Burundi",2002,"Developing",51.5,6741569,122.4335893
"303","Africa","Burundi",2001,"Developing",51.3,6555829,133.7427689
"304","Africa","Burundi",2000,"Developing",58,6476,135.9984455
"305","Asia","Cambodia",2015,"Developing",68.7,15517635,1163.18977
"306","Asia","Cambodia",2014,"Developing",68.3,152779,198.687123
"307","Asia","Cambodia",2013,"Developing",67.8,1522692,128.419568
"308","Asia","Cambodia",2012,"Developing",67.4,14776866,95.244132
"309","Asia","Cambodia",2011,"Developing",67,14537886,882.491462
"310","Asia","Cambodia",2010,"Developing",66.6,143874,785.6928841
"311","Asia","Cambodia",2009,"Developing",66.1,14928,738.2326684
"312","Asia","Cambodia",2008,"Developing",65.6,138859,745.7877873
"313","Asia","Cambodia",2007,"Developing",65,13676693,631.675789
"314","Asia","Cambodia",2006,"Developing",64.1,13474489,539.8791529
"315","Asia","Cambodia",2005,"Developing",62.9,132721,474.2238766
"316","Asia","Cambodia",2004,"Developing",61.5,1363377,48.615184
"317","Asia","Cambodia",2003,"Developing",63,12853124,362.4213785
"318","Asia","Cambodia",2002,"Developing",59.3,12634729,339.676984
"319","Asia","Cambodia",2001,"Developing",58.5,1242473,321.22634
"320","Asia","Cambodia",2000,"Developing",57.7,12152354,3.685949
"321","Africa","Cameroon",2015,"Developing",57.3,22834522,1244.429421
"322","Africa","Cameroon",2014,"Developing",56.7,2223994,1441.1417
"323","Africa","Cameroon",2013,"Developing",56.4,21655715,1365.34419
"324","Africa","Cameroon",2012,"Developing",55.9,2182383,1255.648189
"325","Africa","Cameroon",2011,"Developing",55.6,252447,1295.649726
"326","Africa","Cameroon",2010,"Developing",55.3,1997495,1182.869227
"327","Africa","Cameroon",2009,"Developing",54.8,19432541,123.19538
"328","Africa","Cameroon",2008,"Developing",54.2,18978,1233.524316
"329","Africa","Cameroon",2007,"Developing",53.6,18395389,111.71186
"330","Africa","Cameroon",2006,"Developing",53.3,17899562,12.989164
"331","Africa","Cameroon",2005,"Developing",52.8,1742795,952.1872484
"332","Africa","Cameroon",2004,"Developing",52.1,1695981,93.211716
"333","Africa","Cameroon",2003,"Developing",51.8,16513822,824.8689393
"334","Africa","Cameroon",2002,"Developing",51.6,1684886,676.397661
"335","Africa","Cameroon",2001,"Developing",51.5,15671927,614.6729339
"336","Africa","Cameroon",2000,"Developing",51.4,15274234,68.414399
"337","North America","Canada",2015,"Developing",82.2,3584861,43315.744
"338","North America","Canada",2014,"Developing",82,35544564,544.43376
"339","North America","Canada",2013,"Developing",81.8,35155451,52413.72116
"340","North America","Canada",2012,"Developing",81.6,3475545,52496.69487
"341","North America","Canada",2011,"Developing",81.5,3434278,5282.2176
"342","North America","Canada",2010,"Developing",81.2,345274,47447.4762
"343","North America","Canada",2009,"Developing",81,33628571,4773.45436
"344","North America","Canada",2008,"Developing",87,33245773,46596.33599
"345","North America","Canada",2007,"Developing",85,32887928,44544.5268
"346","North America","Canada",2006,"Developing",85,325755,4386.69948
"347","North America","Canada",2005,"Developing",81,32312,36189.58838
"348","North America","Canada",2004,"Developing",80,31995,31979.87195
"349","North America","Canada",2003,"Developing",79.7,31676,28172.14883
"350","North America","Canada",2002,"Developing",79.5,31362,24167.8431
"351","North America","Canada",2001,"Developing",79.4,31819,23691.59472
"352","North America","Canada",2000,"Developing",79.1,37697,24124.16917
"353","Africa","Chad",2015,"Developing",53.1,149413,777.248751
"354","Africa","Chad",2014,"Developing",52.6,13569438,125.998515
"355","Africa","Chad",2013,"Developing",52.2,13133589,986.13177
"356","Africa","Chad",2012,"Developing",51.8,1275135,973.472574
"357","Africa","Chad",2011,"Developing",51.6,12288651,989.2363633
"358","Africa","Chad",2010,"Developing",51.2,1188722,896.5697341
"359","Africa","Chad",2009,"Developing",57,1152786,84.455939
"360","Africa","Chad",2008,"Developing",49.6,11133861,929.772391
"361","Africa","Chad",2007,"Developing",49.4,177578,81.683884
"362","Africa","Chad",2006,"Developing",48.5,1421597,712.1847694
"363","Africa","Chad",2005,"Developing",48.6,1679,66.2421396
"364","Africa","Chad",2004,"Developing",48.5,97143,454.6765879
"365","Africa","Chad",2003,"Developing",48.4,935321,292.5914364
"366","Africa","Chad",2002,"Developing",48.1,91689,22.854821
"367","Africa","Chad",2001,"Developing",48,866312,197.3156442
"368","Africa","Chad",2000,"Developing",47.6,8342559,166.231785
"369","South America","Chile",2015,"Developing",85,17762681,13653.2264
"370","South America","Chile",2014,"Developing",83,17613798,14817.37778
"371","South America","Chile",2013,"Developing",81,17462982,15941.39722
"372","South America","Chile",2012,"Developing",79.9,1739746,15431.9293
"373","South America","Chile",2011,"Developing",79.8,17153357,1475.69242
"374","South America","Chile",2010,"Developing",79.1,16993354,1286.17764
"375","South America","Chile",2009,"Developing",79.3,16829442,1243.32824
"376","South America","Chile",2008,"Developing",79.6,16661942,1781.3668
"377","South America","Chile",2007,"Developing",78.9,16491687,1526.87746
"378","South America","Chile",2006,"Developing",78.9,16319792,9484.681227
"379","South America","Chile",2005,"Developing",78.4,1614764,7615.3468
"380","South America","Chile",2004,"Developing",78,15973778,621.828325
"381","South America","Chile",2003,"Developing",77.9,15799542,4787.699532
"382","South America","Chile",2002,"Developing",77.8,15623635,4463.545867
"383","South America","Chile",2001,"Developing",77.3,15444969,4595.666327
"384","South America","Chile",2000,"Developing",77.3,15262754,511.368479
"385","Asia","China",2015,"Developing",76.1,137122,869.211938
"386","Asia","China",2014,"Developing",75.8,136427,7683.5238
"387","Asia","China",2013,"Developing",75.6,135738,777.77594
"388","Asia","China",2012,"Developing",75.4,135695,6337.882993
"389","Asia","China",2011,"Developing",75.2,134413,5633.79616
"390","Asia","China",2010,"Developing",75,133775,456.512487
"391","Asia","China",2009,"Developing",74.9,133126,3838.434292
"392","Asia","China",2008,"Developing",74.5,1324655,3471.247547
"393","Asia","China",2007,"Developing",74.4,1317885,2695.366223
"394","Asia","China",2006,"Developing",74.2,13112,299.229676
"395","Asia","China",2005,"Developing",73.9,13372,1753.4178
"396","Asia","China",2004,"Developing",73.5,129675,158.668462
"397","Asia","China",2003,"Developing",73.1,12884,1288.642924
"398","Asia","China",2002,"Developing",72.7,1284,1148.5857
"399","Asia","China",2001,"Developing",72.2,127185,153.1824
"400","Asia","China",2000,"Developing",71.7,1262645,959.372181
"401","South America","Colombia",2015,"Developing",74.8,48228697,644.525556
"402","South America","Colombia",2014,"Developing",74.6,47791911,7913.383432
"403","South America","Colombia",2013,"Developing",74.4,47342981,83.5863
"404","South America","Colombia",2012,"Developing",74.3,46881475,7884.984429
"405","South America","Colombia",2011,"Developing",74.2,4646646,7227.73968
"406","South America","Colombia",2010,"Developing",73.6,4591897,625.65544
"407","South America","Colombia",2009,"Developing",73.6,45416181,5148.422113
"408","South America","Colombia",2008,"Developing",73.5,4491544,5433.7245
"409","South America","Colombia",2007,"Developing",73.5,44374572,4674.21961
"410","South America","Colombia",2006,"Developing",73.1,43835722,379.78776
"411","South America","Colombia",2005,"Developing",73.1,43285634,3386.256
"412","South America","Colombia",2004,"Developing",72.8,42724163,274.249442
"413","South America","Colombia",2003,"Developing",72.4,42152151,2246.257472
"414","South America","Colombia",2002,"Developing",71.8,41572491,2355.725857
"415","South America","Colombia",2001,"Developing",71.5,498899,2395.856551
"416","South America","Colombia",2000,"Developing",71.4,443958,2472.197831
"417","Africa","Comoros",2015,"Developing",63.5,777424,727.6463868
"418","Africa","Comoros",2014,"Developing",63.2,759385,852.954379
"419","Africa","Comoros",2013,"Developing",62.9,7415,834.341949
"420","Africa","Comoros",2012,"Developing",62.5,723868,788.632653
"421","Africa","Comoros",2011,"Developing",62.2,76569,829.7586885
"422","Africa","Comoros",2010,"Developing",61.8,689692,769.1742883
"423","Africa","Comoros",2009,"Developing",61.3,673252,778.5454199
"424","Africa","Comoros",2008,"Developing",61,657229,795.97519
"425","Africa","Comoros",2007,"Developing",66,64162,72.759313
"426","Africa","Comoros",2006,"Developing",63,626425,648.38717
